query,difficulty_score
"Write a 3-act play in the style of realistic drama that explores the effects of drug addiction on a family, specifically focusing on the tension and conflicts that arise between family members as they try to cope and intervene to help the addicted member. Be sure to include realistic dialogue and character development, and consider incorporating themes of love, loyalty, betrayal, and redemption. Additionally, try to highlight the impact of addiction on both the individual and the broader family unit, and consider incorporating factors such as financial strain, legal consequences, and community judgement.",6
What is the most important factor in determining a successful business?,2
"Create a visually appealing social media post that highlights the importance of ocean conservation and encourages people to take action. Include relevant information and statistics about the issue, as well as a clear call-to-action for viewers to get involved in conservation efforts. Use vibrant colors and engaging graphics to make the post stand out and capture the attention of social media users. Aim to create a post that is both informative and inspirational, encouraging people to make a positive impact on the health and well-being of our oceans.",5
How do you make an iced matcha latter?,2
"Write a persuasive speech about the importance of empathy to convince your audience why they should prioritize empathy in their personal and professional lives. Your speech should include statistics, personal anecdotes, and practical examples to support your arguments. Additionally, make sure to use a clear and confident tone, eye contact, and appropriate body language to engage your audience and emphasize your message.",6
"""... As cells die and synapses lose their drive, remaining cells suffer an initial decrease in activity. Neuronal homeostatic synaptic scaling then provides a feedback mechanism to restore activity. ... The scaling mechanism increases the firing rates of remaining cells in the network to compensate for decreases in network activity. However, this effect can itself become a pathology, ... Here, we present a mechanistic explanation of how directed brain stimulation might be expected to slow AD progression based on computational simulations in a 470-neuron biomimetic model of a neocortical column. ... "" Can you explain why the increase in firing rates caused by the scaling mechanism can sometimes become a pathology?",6
Which is the largest American Football stadium,1
"Think of a hypothetical situation where two people, Alice and Bob, are discussing computer programming. Role play as Alice who is trying to help Bob who is completely new to coding by providing three important coding tips.",3
"Describe how social media can help companies make better business decisions. What social media data can be collected to aid in business decisions? List four pieces of social media data (e.g., Twitter mentions and the number of retweets would be counted as two pieces).",4
"Given the data provided, which company should you invest in? Explain the reasoning for your choice.",6
"Tell me whether these are TV shows or books: Modern Family, You, Don Quixote, A Tale of Two Cities, The Little Prince",2
"Give the kids a tasty treat that they’ll really be thankful for this year. What’s more – there’s desserts here for all the family so get ready to sweeten them up! From cute Oreo turkeys to pilgrim cupcakes, you’re sure to have a lot of fun! Can you suggest some fun and tasty desserts that kids will love during Thanksgiving?",2
Present a list of 11 words that encompass 'ack' within them.,3
How is the following phrase an example of hyperbole?,2
Create a simple meal plan for a vegan who wants to gain muscle.,3
Can the broth recipe be adjusted to suit personal preferences or dietary restrictions?,3
Describe a program in computer engineering.,2
Office of War Information?,1
"Given a hotel profile, classify its overall rating",2
How have local residents responded to the influx of spiritual tourists and visitors to Glastonbury?,4
"What role have social democrat parties played in addressing income inequality, and what challenges have they faced in doing so?",5
